time,open,high,low,close,volume,return_interval,RV_20_min,RV_60_min,RV_240_min
2018/10/8 9:35,3361.56,3364.46,3347.04,3350.2,1225624600,-0.003385106,0.005676997,0.008014668,0.011405681
2018/10/8 9:40,3349.63,3363.73,3348.49,3363.03,512051600,0.003992461,0.005682713,0.006957069,0.010799626
2018/10/8 9:45,3362.94,3362.94,3354.96,3359.36,357788400,-0.001065112,0.005620837,0.0070115,0.011012371
2018/10/8 9:50,3359.31,3363.75,3359.31,3362.61,282859500,0.000981862,0.005540414,0.006943857,0.011937043
2018/10/8 9:55,3361.81,3362.23,3349.17,3349.17,359566900,-0.003766965,0.004063176,0.005840898,0.011328229
2018/10/8 10:00,3348.7,3348.7,3335.33,3335.33,355604500,-0.004000586,0.002084118,0.004960487,0.010610243
2018/10/8 10:05,3334.4,3336.62,3329.93,3336.6,377250800,0.000659571,0.00255253,0.00491849,0.010853043
2018/10/8 10:10,3336.93,3340.02,3336.07,3336.07,252853100,-0.000257755,0.003914784,0.005610635,0.010851256
2018/10/8 10:15,3335.87,3339.45,3335.66,3336.06,217737300,5.70E-05,0.003936649,0.005696597,0.011037811
2018/10/8 10:20,3336.1,3336.1,3329.57,3329.57,249037700,-0.001959294,0.003429872,0.005419363,0.010926684
2018/10/8 10:25,3329.43,3336.94,3329.32,3334.81,160961100,0.001614588,0.003324444,0.005403756,0.010824972
2018/10/8 10:30,3334.54,3334.79,3324.47,3324.62,194171900,-0.002979357,0.001481696,0.004509598,0.010437204
2018/10/8 10:35,3324.29,3324.54,3320.72,3322.9,248901800,-0.000418222,0.001452408,0.004707453,0.010465804
2018/10/8 10:40,3323.2,3324.53,3321.75,3322.12,147443300,-0.000325041,0.00291528,0.005295043,0.010894666
2018/10/8 10:45,3322.26,3322.26,3315.16,3317.69,228858900,-0.001376517,0.002573754,0.005189844,0.01101587
2018/10/8 10:50,3318.26,3319.27,3316.79,3317.79,153966700,-0.000141651,0.003736076,0.00520332,0.01102024
2018/10/8 10:55,3318.47,3320.88,3317.71,3319.46,132025100,0.000298286,0.00385286,0.005195112,0.011023537
2018/10/8 11:00,3319.86,3320.13,3311.33,3311.41,150828200,-0.002548533,0.003017717,0.004577466,0.010817905
2018/10/8 11:05,3311.35,3312.86,3308.9,3310.88,140748600,-0.000141946,0.003394768,0.004744704,0.010900712
2018/10/8 11:10,3310.59,3319.83,3310.06,3319.58,127129800,0.002711848,0.002045186,0.00392932,0.010559746
2018/10/8 11:15,3319.73,3324.02,3318.26,3323.01,112087300,0.000987544,0.002281686,0.003876009,0.010619659
2018/10/8 11:20,3322.83,3323.36,3319.84,3319.94,80204800,-0.000870119,0.003229862,0.004202015,0.011096019
2018/10/8 11:25,3320.12,3320.28,3314.83,3314.94,93401600,-0.001561403,0.002964089,0.003967562,0.011132
2018/10/8 11:30,3315.38,3315.97,3313.96,3315.01,65551500,-0.000111607,0.002988895,0.004151529,0.011164609
2018/10/8 13:05,3315.19,3319.88,3315.19,3319.88,125218300,0.0014137,0.002634116,0.004180809,0.011158422
2018/10/8 13:10,3319.7,3328.47,3319.23,3327.83,96992200,0.002446023,0.001189356,0.003601827,0.01108248
2018/10/8 13:15,3327.97,3327.97,3325.01,3325.01,84702500,-0.000889827,0.001483895,0.003581009,0.011168013
2018/10/8 13:20,3324.38,3324.59,3321.93,3323.05,82914200,-0.000400155,0.00152423,0.003588132,0.011197127
2018/10/8 13:25,3322.74,3324.19,3322.29,3322.54,85570800,-6.02E-05,0.001696699,0.004075814,0.011201585
